base_out_count_state,run_expectancy
None_0_0-0,1.0065861690450055
None_0_0-1,0.9333333333333333
None_0_0-2,0.8163265306122449
None_0_1-0,1.0
None_0_1-1,1.0031152647975077
None_0_1-2,0.8178137651821862
None_0_2-0,1.0571428571428572
None_0_2-1,1.0259067357512954
None_0_2-2,0.9601769911504425
None_0_3-0,1.1612903225806452
None_0_3-1,1.0169491525423728
None_0_3-2,1.0
None_1_0-0,0.768566493955095
None_1_0-1,0.7226890756302521
None_1_0-2,0.625
None_1_1-0,0.8475836431226765
None_1_1-1,0.927461139896373
None_1_1-2,0.6794871794871795
None_1_2-0,0.9230769230769231
None_1_2-1,0.9173553719008265
None_1_2-2,0.7241379310344828
None_1_3-0,1.3333333333333333
None_1_3-1,1.0892857142857142
None_1_3-2,1.0789473684210527
None_2_0-0,0.7038216560509554
None_2_0-1,0.6346483704974271
None_2_0-2,0.6353790613718412
None_2_1-0,0.7209302325581395
None_2_1-1,0.6889763779527559
None_2_1-2,0.6430317848410758
None_2_2-0,0.6652173913043479
None_2_2-1,0.683076923076923
None_2_2-2,0.5824175824175825
None_2_3-0,0.7111111111111111
None_2_3-1,0.865979381443299
None_2_3-2,0.6335403726708074
Runners_0_0-0,1.6590604026845637
Runners_0_0-1,1.6192170818505338
Runners_0_0-2,1.4625
Runners_0_1-0,1.7970588235294118
Runners_0_1-1,1.688715953307393
Runners_0_1-2,1.4171122994652405
Runners_0_2-0,1.9539473684210527
Runners_0_2-1,1.9161290322580644
Runners_0_2-2,1.6464088397790055
Runners_0_3-0,1.930232558139535
Runners_0_3-1,2.129032258064516
Runners_0_3-2,1.4385026737967914
Runners_1_0-0,1.233502538071066
Runners_1_0-1,1.1348837209302325
Runners_1_0-2,1.1121495327102804
Runners_1_1-0,1.3197115384615385
Runners_1_1-1,1.1271186440677967
Runners_1_1-2,0.9290540540540541
Runners_1_2-0,1.4285714285714286
Runners_1_2-1,1.3772727272727272
Runners_1_2-2,1.206896551724138
Runners_1_3-0,1.3636363636363635
Runners_1_3-1,1.6589147286821706
Runners_1_3-2,1.4579439252336448
Runners_2_0-0,0.8208191126279863
Runners_2_0-1,1.0491803278688525
Runners_2_0-2,1.1333333333333333
Runners_2_1-0,1.1206896551724137
Runners_2_1-1,1.0
Runners_2_1-2,1.2083333333333333
Runners_2_2-0,1.0909090909090908
Runners_2_2-1,1.4516129032258065
Runners_2_2-2,1.3414634146341464
Runners_2_3-0,0.8695652173913043
Runners_2_3-1,1.025974025974026
Runners_2_3-2,1.2301587301587302
