TaggedPitchType,Balls,Strikes,delta_run_exp_mean
Changeup,0,0,-0.015868268177112982
Changeup,0,1,0.0010005495825603397
Changeup,0,2,-0.04025149329445214
Changeup,1,0,-0.01065076967809811
Changeup,1,1,-0.008392810032302795
Changeup,1,2,-0.06062784325941132
Changeup,2,0,-0.038980637813211844
Changeup,2,1,-0.02343769782475286
Changeup,2,2,-0.08955704030556474
Changeup,3,0,0.0
Changeup,3,1,0.03763097949886105
Changeup,3,2,-0.0817314875457592
Curveball,0,0,-0.0142433664130589
Curveball,0,1,-0.007642508050632157
Curveball,0,2,-0.05162699593992538
Curveball,1,0,0.0023622093057082834
Curveball,1,1,-0.01894597228249575
Curveball,1,2,-0.05916065677666486
Curveball,2,0,-0.033006670951302185
Curveball,2,1,-0.021601285759605987
Curveball,2,2,-0.07911814174056811
Curveball,3,0,-0.06929891166793217
Curveball,3,1,0.0012974810970426357
Curveball,3,2,-0.12872651547884129
Cutter,0,0,-0.029412807249930922
Cutter,0,1,-0.004911283070346244
Cutter,0,2,-0.06684036515162618
Cutter,1,0,0.04320563263615655
Cutter,1,1,0.005821675690059476
Cutter,1,2,-0.07600861414357031
Cutter,2,0,-0.06209272413495298
Cutter,2,1,0.008874895051915636
Cutter,2,2,-0.1577994158849303
Cutter,3,0,0.0
Cutter,3,1,0.0
Cutter,3,2,0.03343484090940156
Fastball,0,0,-0.004426240273427904
Fastball,0,1,0.002453268382564579
Fastball,0,2,-0.053606156669563004
Fastball,1,0,0.0022775430418919508
Fastball,1,1,-0.014576668655573218
Fastball,1,2,-0.06367780862741775
Fastball,2,0,0.00269853790437326
Fastball,2,1,-0.006250039443293834
Fastball,2,2,-0.05987393370265351
Fastball,3,0,0.02859929495993088
Fastball,3,1,0.03795130584364443
Fastball,3,2,-0.012423043914053087
Knuckleball,0,0,0.011821484323872311
Knuckleball,0,1,-0.03629359262534348
Knuckleball,0,2,-0.09876569520261251
Knuckleball,1,0,-0.09355353075170843
Knuckleball,1,1,-0.016189664614406164
Knuckleball,1,2,-0.008851476894551893
Knuckleball,2,0,0.0
Knuckleball,2,1,0.15974136643490067
Knuckleball,2,2,-0.3858335601515457
Knuckleball,3,0,0.0
Knuckleball,3,1,-0.06071124230402311
Knuckleball,3,2,-0.021243544546924543
Sinker,0,0,-0.003294517223965706
Sinker,0,1,-0.01957376593705386
Sinker,0,2,7.916255477024808e-05
Sinker,1,0,-0.032827894606662966
Sinker,1,1,-0.0020025189769662353
Sinker,1,2,-0.0698103025005735
Sinker,2,0,-0.006685957027642676
Sinker,2,1,0.0022751862502488275
Sinker,2,2,-0.06817843095822633
Sinker,3,0,0.16666666666666666
Sinker,3,1,-0.00408529702825472
Sinker,3,2,-0.043938669051897514
Slider,0,0,-0.008644795594504436
Slider,0,1,-0.025147454124589734
Slider,0,2,-0.06488543382938658
Slider,1,0,-0.009320599303937355
Slider,1,1,0.003533039274222784
Slider,1,2,-0.08106627421197109
Slider,2,0,0.028464436345677326
Slider,2,1,0.006594902328555038
Slider,2,2,-0.04819874519427838
Slider,3,0,0.0
Slider,3,1,0.01878343397636766
Slider,3,2,-0.015896571476747334
Splitter,0,0,-0.026850976303901167
Splitter,0,1,0.06258958432871477
Splitter,0,2,-0.09713798768643697
Splitter,1,0,0.0
Splitter,1,1,0.0
Splitter,1,2,-0.048568993843218486
Splitter,2,1,0.0
Splitter,2,2,-0.021243544546924543
Splitter,3,2,0.0
