,Pitcher,Stuff+
0,Adan Nieves,102.40821158647493
1,Andrew Tay,100.58361681465335
2,Benedict Hendrickson,98.88666991644097
3,Braden Alexander,107.03689163562284
4,Braden Deverman,99.85787905215176
5,Braden Mehn,104.89074207403534
6,Brandon Ward,96.0319961479087
7,Brayden Elliott,117.14254598339019
8,Brayden Zilis,118.61919843619384
9,Brennan Tomhave,101.76425660101394
10,Brett Granger,92.27248302402764
11,Brody Stonecipher,114.98536386059388
12,Cade Starrick,111.23664111987037
13,Caden Addis,109.24947953690344
14,Cal Darling,105.7569077509083
15,Caleb Ochs,100.49598175854484
16,Cameron Clifton,95.31774535892706
17,Canden Hardman,103.15076916458514
18,Carter Sellers,116.90530944084335
19,Cayden Rose,101.8234178136758
20,Cole Mcclusky,93.66584949652473
21,Connor Hale,103.79565681176065
22,Cooper Stolfa,94.58661799698552
23,Devan Tupper,104.72657314122826
24,Donte Frantz,109.94927989336297
25,Ethan Plym,107.55206218958661
26,Ethan Robbins,104.69694624486529
27,Jack Piper,96.30437748301827
28,Jack Stellano,122.35813476199937
29,Jack Wisdom,105.3826862824643
30,Jackson Beiler,99.99211455727874
31,Jackson Natanek,116.16906981142463
32,Joe Stellano,104.28343628976833
33,Joey Kahwaji,92.55748644730166
34,Jonah Roper,98.96427477168561
35,Kam  Ross,99.23192963002163
36,Kam Ross,121.48156749829057
37,Kellen Hershberger,106.30694740464382
38,Lawson Shickel,99.13070132360019
39,Logan Elsbury,93.3833167887395
40,Logan Lynch,110.4437286639367
41,Lucas Frank,97.72948460695038
42,Luke Gallet,105.68733826601196
43,Luke Klunke,100.761000233527
44,Madden Johnson,105.1291025575578
45,Marshall Ingold,97.42218867094857
46,Mason Orton,120.8684394498188
47,Matt Brummer,103.04397768000032
48,Miles Woolsey,110.89418711490217
49,Mitchell Wilson,110.00695099455442
50,Noah Suttles,119.41764295617895
51,Nolan Bowles,103.27302687708178
52,Nolan Vanduzer,94.50454323556025
53,Owen Laroe,104.87910751629545
54,Owen Shissler,122.57010479311288
55,Patrick Kennedy,89.63459207608668
56,Payton Knoll,109.63420391320538
57,Reed Frazier,103.9773496403403
58,Roy Rolston,105.75829633404283
59,Sammy Driscoll,123.16381722741794
60,Teagan Disharoom,104.32139024684442
61,Teagan Disharoon,73.28434294414261
62,Thomas Mickels,109.39261354967462
63,Trey Blanchette,99.91513736306085
64,Tyler Dowling,107.92924633111265
65,Tyson Sorensen,89.76968899104092
