Pitcher,BF,Avg FB Velo,Max FB Velo,Strike %,FB Strike %,OS Strike %,1PK %,Whiff %,IZ Whiff %,Chase %,K %,BB %,AVG,HH %,GB %
Eli Tritinger,12,91.4,93.1,38.0,34.300000000000004,53.800000000000004,40.0,30.0,28.599999999999998,9.700000000000001,15.4,30.8,0.333,0.0,42.9
Alec Bergman,13,90.7,95.6,39.2,35.5,45.0,46.2,40.0,0.0,15.2,22.2,11.1,0.25,60.0,66.7
Brice Deaton,11,90.2,92.6,27.3,24.2,36.4,9.1,50.0,0.0,11.4,18.2,27.3,0.167,0.0,50.0
Cole Noreuil,9,90.1,92.7,34.1,35.9,25.0,33.300000000000004,45.5,37.5,12.5,0.0,22.2,0.333,0.0,83.3
Jimmy Amptmann,14,89.7,91.3,38.3,26.700000000000003,51.7,42.9,68.8,50.0,15.0,33.300000000000004,25.0,0.0,0.0,40.0
Zach Courson,15,89.6,91.4,34.0,36.4,30.0,50.0,11.1,0.0,13.5,7.7,23.1,0.111,0.0,62.5
Owen Corbett,3,89.6,91.0,28.599999999999998,30.0,25.0,0.0,100.0,,9.1,33.300000000000004,66.7,0.0,,
Wyatt Mammen,25,89.4,91.6,43.0,43.2,44.4,61.5,42.3,27.800000000000004,13.600000000000001,11.1,29.599999999999998,0.222,16.7,53.300000000000004
Eli Woodall,16,89.3,91.4,43.1,45.800000000000004,0.0,53.300000000000004,50.0,41.699999999999996,6.7,21.4,14.299999999999999,0.4,42.9,42.9
Toby Schriefer,25,88.4,91.1,41.099999999999994,43.8,30.8,40.0,50.0,21.4,21.9,28.000000000000004,12.0,0.25,7.7,21.4
Braden Vanderhe,6,88.2,89.8,23.1,23.799999999999997,0.0,16.7,33.300000000000004,0.0,8.7,0.0,66.7,0.0,0.0,0.0
Graham Kasey,48,87.1,90.6,46.7,51.5,41.099999999999994,53.2,36.4,11.1,23.3,19.1,0.0,0.227,25.0,51.4
Rj Bergren,20,87.1,90.1,41.699999999999996,31.8,58.8,60.0,50.0,42.1,12.8,15.8,10.5,0.0,11.1,25.0
Logan Barnett,18,86.8,88.3,48.3,41.699999999999996,58.3,52.900000000000006,42.1,9.1,20.5,17.599999999999998,5.8999999999999995,0.286,25.0,36.4
Will O'gorman,4,86.6,89.0,23.799999999999997,25.0,0.0,0.0,66.7,0.0,13.3,50.0,25.0,0.0,0.0,0.0
Jake Fenton,14,85.3,88.3,44.0,46.9,38.9,35.699999999999996,15.4,0.0,14.299999999999999,7.7,7.7,0.333,0.0,45.5
Nick Krueger,9,85.2,88.9,34.1,45.800000000000004,8.3,11.1,22.2,0.0,15.4,0.0,11.1,0.143,40.0,42.9
Luka Zachman,34,84.3,86.9,36.4,32.5,47.4,29.4,34.5,20.0,11.200000000000001,16.7,16.7,0.304,12.5,42.1
Zach O'Donnell,23,82.2,83.9,44.9,41.699999999999996,60.0,42.3,40.699999999999996,46.2,23.7,4.8,14.299999999999999,0.118,12.5,37.5
Trey Bryant,4,76.7,78.8,31.8,28.599999999999998,42.9,25.0,25.0,0.0,7.7,0.0,25.0,0.0,0.0,66.7
